x y
309.5072045369897 1403.7471871852133
1002.3856718102377 897.6482886156025
914.1886031942817 1292.554237452964
990.9307799989333 881.1147095773579
997.8688897915999 908.5189948300507
202.81123292050665 502.85714682879774
1300.5641207615722 609.0019336510616
90.2114956309446 997.9243316409966
200.68230203535074 486.16599583499715
894.6529261325095 1298.3625137857482
106.218743590659 1004.9417611695541
1316.799122021224 598.89573889463
85.65778873219554 999.3827885921276
1000.2777258928326 912.7870122505481
1307.7507579141552 601.1548542475316
899.0265310352579 1305.1160586645606
312.8716909734236 1426.5792382024392
293.03835617384385 1410.7983588138693
106.03272561163932 1001.1417800235402
893.0065213415193 1297.352865301869
999.7666353929209 905.9425225620444
492.6406701097987 112.00450062384452
477.86182482033183 102.5468775026548
486.79698363128614 109.01458285537477
94.34688410747931 1001.5762025201961
302.76423756443666 1406.0789100771199
1311.5557073533168 599.6948803175334
899.4787230473873 1290.9661216762954
204.77319774621427 502.24853327387524
913.8919847281496 1305.0704280410803
488.21569798857183 112.29444513933534
203.42855565500366 504.22029776379895
303.72254536421156 1396.36696601122
1005.9123199517213 903.8358193127358
1299.5313032741747 619.4472491210179
1312.2775997457945 603.3547531763061
110.50014351635166 979.7344739552301
200.21953213220849 505.0346429783824
291.74935294089624 1403.7491550594068
209.35992474326383 489.80580494066794
1304.4435154636187 601.5687853419239
998.036892263793 893.1156658132359
1287.6394447481973 582.949805100244
492.6256907254103 96.31546110686051
509.96187069076245 95.49391299220322
201.29769076970842 503.3363688573314
495.6469248464817 101.1214181866585
891.6561207648614 1302.0202716741476
302.35452934073413 1408.872877238684
283.08861478908256 1404.591946020021
1291.5964343248045 583.3881122201033
293.66903642904987 1397.3040929917124
886.4020029077565 1316.167174115082
308.8524652566464 1398.5375296761915
899.1103664582464 1307.2872751316518
501.47958846384086 107.40802387346885
102.64738719614812 996.7754014882273
84.3771812441448 998.2614066313039
180.42593363452264 499.8310469849487
105.24026007492859 1007.4835741877708
894.1026410938211 1300.190425342679
204.85437325391038 500.90273020588086
983.2436074625908 900.66749480806
1279.7746914896452 599.8474653290762
220.80445147106155 495.6762200664313
492.21790725811826 114.24585217908349
996.0483647527874 904.2694847627453
512.7113840598229 92.44078579142561
988.313777674321 900.9866121956902
104.47287454847255 1006.0654584170419
